model_id,dim,M,rep,seed,method,selected_h,sup_err,ise,f_hat,min_D_hat,gap_to_oracle,is_grid_boundary
gg_1d,1,2000,16,498139153,oracle,0.424264068712,0.07207852403434245,0.08708009423301549,0.42661625121258556,0.0065561800548124055,1.0,0
gg_1d,1,2000,16,498139153,lepski,0.3,0.08190203262466511,0.06548155741461056,0.4516437092122323,0.005755335037776002,1.1362889809680643,0
gg_1d,1,2000,17,3152197458,oracle,0.424264068712,0.2477802984861186,0.31014781131579333,0.41025262245495353,0.00687508224027437,1.0,0
gg_1d,1,2000,17,3152197458,lepski,0.3,0.2912031625985634,0.30486154188672693,0.412077821288259,0.006101284304699262,1.1752474445214112,0
gg_1d,1,2000,18,3325497001,oracle,0.212132034356,0.15246695037103652,0.11160705569713214,0.3631170924696057,0.006295550503157413,1.0,0
gg_1d,1,2000,18,3325497001,lepski,0.6,0.4208135641116755,0.40623168723599784,0.3782053720685235,0.008407850772750714,2.760031358190106,0
gg_1d,1,2000,19,945472433,oracle,0.424264068712,0.0707768134062512,0.06547689722004257,0.38909737377000553,0.0063992026221794856,1.0,0
gg_1d,1,2000,19,945472433,lepski,0.424264068712,0.0707768134062512,0.06547689722004257,0.38909737377000553,0.0063992026221794856,1.0,0
gg_1d,1,4000,0,3070822591,oracle,0.15,0.0678008507482204,0.05837087364846734,0.40482391969813114,0.005960901038967207,1.0,0
gg_1d,1,4000,0,3070822591,lepski,0.3,0.07264364219387698,0.05253166075737285,0.3926098318871918,0.006275790157426469,1.0714267061875133,0
gg_1d,1,4000,1,350446006,oracle,0.106066017178,0.0546405802105534,0.033460805905043016,0.36575291862358245,0.006079052590247666,1.0,0
gg_1d,1,4000,1,350446006,lepski,0.106066017178,0.0546405802105534,0.033460805905043016,0.36575291862358245,0.006079052590247666,1.0,0
gg_1d,1,4000,2,1681873724,oracle,0.106066017178,0.11283167940788097,0.12194873095911936,0.3742213562379634,0.007014903775869676,1.0,0
gg_1d,1,4000,2,1681873724,lepski,0.424264068712,0.20696776820563034,0.23765220172817256,0.39314244882027527,0.007631907623939061,1.834305483103305,0
gg_1d,1,4000,3,686746376,oracle,0.075,0.16040980089714996,0.14543471330632624,0.39811451610401705,0.005560158573793603,1.0,0
gg_1d,1,4000,3,686746376,lepski,0.3,0.25115412679581794,0.27881343824147314,0.4137128543104678,0.007459870362719251,1.5657031265617654,0
gg_1d,1,4000,4,3195502165,oracle,0.3,0.1357953304472952,0.06450356813459478,0.3810710825153143,0.00634313433825029,1.0,0
