model_id,dim,M,rep,seed,h,sup_err,ise,f_hat,min_D_hat
mm_1d,1,1000,7,2904491693,0.15,0.3503519413744555,0.34110493767798,0.33116314055739,0.2007347039496132
mm_1d,1,1000,7,2904491693,0.212132034356,0.26594135083937465,0.32783093242948186,0.3326101931528967,0.19660777716670688
mm_1d,1,1000,7,2904491693,0.3,0.3056790708878182,0.3936756703221208,0.3319452412728217,0.17647694080101747
mm_1d,1,1000,7,2904491693,0.424264068712,0.3037991558597194,0.40476855206296736,0.31517745395566427,0.18304548102800597
mm_1d,1,1000,7,2904491693,0.6,0.4004437343070555,0.44887882593781453,0.2981508793638999,0.21502597849973556
mm_1d,1,1000,7,2904491693,0.848528137424,0.6733713417888287,0.6674440081809121,0.2754914885896061,0.2546083493251373
mm_1d,1,1000,7,2904491693,1.2,0.9414918359775442,0.9172474759413206,0.24737188054391787,0.2934439102270825
mm_1d,1,1000,8,4245388044,0.02,0.9834471737073609,1.043551598468721,0.3060122826008215,0.06890676195130115
mm_1d,1,1000,8,4245388044,0.026516504294,0.2797230995244071,0.2827217308055858,0.3066485901067006,0.21302686792785613
mm_1d,1,1000,8,4245388044,0.0375,0.19530353344659765,0.1750652918451486,0.3199354867006028,0.2869124664705786
mm_1d,1,1000,8,4245388044,0.053033008589,0.3893458554951625,0.32136838363110043,0.33110142955026195,0.30258047065784777
mm_1d,1,1000,8,4245388044,0.075,0.5325566380308961,0.4513839550564188,0.32481775371858385,0.30785814832369884
mm_1d,1,1000,8,4245388044,0.106066017178,0.4750324547361315,0.42868117102576475,0.3127644429749432,0.3197069498758471
mm_1d,1,1000,8,4245388044,0.15,0.31183267507099854,0.32875484010453837,0.3026651927568789,0.2655158403261001
mm_1d,1,1000,8,4245388044,0.212132034356,0.3686612766206774,0.3569202889050173,0.29507085082202567,0.21385698555270735
mm_1d,1,1000,8,4245388044,0.3,0.37946062369827427,0.4100386348512245,0.2885277818270293,0.18082335193100763
mm_1d,1,1000,8,4245388044,0.424264068712,0.31112676462206545,0.4424005444994666,0.28169960846756825,0.1696996068896916
mm_1d,1,1000,8,4245388044,0.6,0.39494698848314735,0.4202287654343902,0.2685225836438611,0.21812733413349536
mm_1d,1,1000,8,4245388044,0.848528137424,0.5590332430480915,0.588399991069291,0.2495062821175158,0.2953330291218562
mm_1d,1,1000,8,4245388044,1.2,0.8171408084625336,0.810551807156203,0.2244083901967543,0.323685978404433
mm_1d,1,1000,9,1679802727,0.02,1.6421874520374748,1.5461316815383126,0.31605237785580526,0.18900186425542911
