label,model_id,run_name,selector_metric,trim_frac,dim,M,rep,seed,h,sup_err,ise,Mh_to_d,f_hat,f_floor_hit,n_kernel_positive,p_kernel_positive,sum_kernel_weights,kernel_weight_ess,min_g1_hat,median_g1_hat,max_g1_hat,min_D_hat,q01_D_hat,median_D_hat,max_D_hat,n_D_floor_grid,p_D_floor_grid
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,2,3387213021,0.15,0.31995364588448,0.2638292257383662,150.0,0.4400473724518092,0,131,0.131,440.0473724518092,107.17860613783476,0.002728727213949,0.184165594418238,0.4351480764811933,0.0062009851319994,0.0073649543668737,0.4185131100593185,0.9888664351219312,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,2,3387213021,0.212132034356,0.4016977109861543,0.2999313455012852,212.132034356,0.4258727473102925,0,171,0.171,425.8727473102925,147.0063647421794,0.0027419581570882,0.1785339063445318,0.4190003966155353,0.0064384447570447,0.0076465163847834,0.4192189039381083,0.9838629009764974,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,2,3387213021,0.3,0.4164905795880704,0.3172050514804011,300.0,0.4018279145010494,0,230,0.23,401.8279145010494,194.73595173350992,0.0025870056166885,0.1693349046535559,0.3952192317771992,0.0064380933313227,0.007650518529119,0.4214115011492406,0.9835534504066094,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,2,3387213021,0.424264068712,0.4258611453513059,0.3586697715230527,424.264068712,0.3880221093867507,0,324,0.324,388.0221093867507,268.8785520456207,0.0028318186209202,0.1655115083327111,0.3797490439905451,0.007298085733815,0.0086381719905134,0.4265517462247029,0.9786788814449756,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,2,3387213021,0.6,0.4054425385770233,0.4644247572275412,600.0,0.387817025608219,0,447,0.447,387.8170256082191,385.5619596209157,0.003593852059936,0.1673241619463835,0.3773213323875253,0.009266875414507,0.0108720607905074,0.4314513053777529,0.972936481568252,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,2,3387213021,0.848528137424,0.6109854083424482,0.722076705048094,848.528137424,0.3765850372775075,0,609,0.609,376.58503727750747,523.7278787059789,0.0043659088009217,0.170797154944646,0.3644346873569318,0.0115934207914493,0.0134844164820808,0.4535420636449363,0.9677354416192006,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,2,3387213021,1.2,0.9235678877203212,1.1131774158604657,1200.0,0.3522958233580269,0,773,0.773,352.2958233580269,678.0667718497276,0.0056310043100031,0.174693655947334,0.3366915262479003,0.0159837384852574,0.0184076770311159,0.4958720608214489,0.9557068347805292,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,3,1360466708,0.081,0.3004374608261217,0.2197864439409553,81.0,0.3797490335325013,0,69,0.069,379.74903353250136,53.045572886065294,0.0019358768151795,0.1447635931094628,0.3774359831348138,0.0050977794391512,0.006123033055298,0.3812085886377195,0.993909002542624,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,3,1360466708,0.106066017178,0.3246402210630412,0.2091057788916878,106.066017178,0.3907727545781848,0,82,0.082,390.7727545781848,70.27428940750235,0.0019857216876097,0.1518924300413488,0.3875338810279288,0.0050815254245482,0.0061092503433936,0.3886975953717843,0.9917116188057888,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,3,1360466708,0.15,0.3299374042707228,0.2056614004990211,150.0,0.3807491062777867,0,108,0.108,380.74910627778667,93.86379446977868,0.0019327779683313,0.1491838950805988,0.3781612685907336,0.0050762508341153,0.0061040831822249,0.3918167964700548,0.9932032993790796,0,0.0
